customer_id,signup_date
CUST_0001,2023-10-17
CUST_0002,2022-04-25
CUST_0003,2022-01-26
CUST_0004,2022-10-09
CUST_0005,2022-09-08
CUST_0006,2022-08-17
CUST_0007,2022-05-23
CUST_0008,2022-04-15
CUST_0009,2023-11-24
CUST_0010,2023-07-13
CUST_0011,2022-03-31
CUST_0012,2023-08-28
CUST_0013,2023-03-09
CUST_0014,2022-02-02
CUST_0015,2022-01-31
CUST_0016,2022-04-06
CUST_0017,2022-08-12
CUST_0018,2022-08-27
CUST_0019,2023-06-02
CUST_0020,2023-09-09
CUST_0021,2022-01-28
CUST_0022,2023-07-29
CUST_0023,2022-07-23
CUST_0024,2023-10-28
CUST_0025,2023-12-20
CUST_0026,2023-07-13
CUST_0027,2023-03-06
CUST_0028,2022-08-14
CUST_0029,2023-04-05
CUST_0030,2023-08-27
CUST_0031,2022-10-12
CUST_0032,2022-01-07
CUST_0033,2022-06-13
CUST_0034,2023-12-16
CUST_0035,2023-03-09
CUST_0036,2022-12-15
CUST_0037,2022-10-12
CUST_0038,2022-06-09
CUST_0039,2022-08-09
CUST_0040,2022-12-11
CUST_0041,2022-04-15
CUST_0042,2022-04-05
CUST_0043,2023-01-25
CUST_0044,2022-04-10
CUST_0045,2023-01-03
CUST_0046,2022-12-19
CUST_0047,2023-09-11
CUST_0048,2022-09-28
CUST_0049,2022-02-14
CUST_0050,2023-04-16
CUST_0051,2023-07-04
CUST_0052,2022-05-08
CUST_0053,2023-01-23
CUST_0054,2022-03-22
CUST_0055,2023-07-20
CUST_0056,2022-10-28
CUST_0057,2023-10-06
CUST_0058,2023-09-26
CUST_0059,2023-01-06
CUST_0060,2023-08-15
